                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.797,                 1.3666,                 1.0923,                0.72586,                0.62271,                0.68752,                0.32596,                 1.7728,                 1.2255,                 1.1088,               0.006634,               0.006634,               0.006634
                     37,                 1.7959,                 1.3713,                 1.0967,                0.74156,                 0.6219,                0.69008,                0.33244,                 1.7663,                 1.2151,                 1.1076,               0.006535,               0.006535,               0.006535
                     38,                 1.7767,                 1.3421,                 1.0894,                0.76008,                0.59911,                0.69246,                0.33509,                 1.7674,                 1.2091,                 1.1089,               0.006436,               0.006436,               0.006436
                     39,                 1.7694,                 1.3296,                  1.088,                0.73862,                0.61644,                0.69331,                0.33146,                 1.7664,                 1.2017,                 1.1107,               0.006337,               0.006337,               0.006337
                     40,                 1.7689,                 1.3261,                 1.0834,                0.74724,                0.63124,                0.69748,                0.33356,                 1.7679,                 1.1983,                 1.1104,               0.006238,               0.006238,               0.006238
                     41,                 1.7561,                 1.2973,                 1.0828,                0.74652,                0.62959,                0.70557,                0.33271,                 1.7693,                 1.1843,                 1.1115,               0.006139,               0.006139,               0.006139
                     42,                 1.7551,                 1.2965,                 1.0842,                 0.7572,                0.63163,                0.70676,                0.33956,                 1.7629,                 1.1801,                 1.1106,                0.00604,                0.00604,                0.00604
                     43,                 1.7444,                 1.2719,                 1.0764,                0.74192,                0.64576,                0.70599,                0.33941,                 1.7595,                 1.1751,                 1.1091,               0.005941,               0.005941,               0.005941
                     44,                 1.7264,                 1.2535,                 1.0744,                0.72866,                0.65273,                0.70944,                0.34312,                 1.7554,                 1.1696,                 1.1062,               0.005842,               0.005842,               0.005842
                     45,                 1.7392,                 1.2609,                 1.0733,                0.75986,                0.63549,                0.71129,                 0.3451,                 1.7503,                 1.1612,                 1.1048,               0.005743,               0.005743,               0.005743
                     46,                 1.7266,                 1.2446,                 1.0674,                0.76464,                0.64899,                 0.7157,                0.34683,                 1.7554,                 1.1608,                 1.1069,               0.005644,               0.005644,               0.005644
                     47,                 1.7205,                 1.2193,                  1.073,                0.76884,                0.64617,                0.71793,                0.34678,                 1.7559,                 1.1525,                 1.1064,               0.005545,               0.005545,               0.005545
                     48,                 1.7082,                   1.22,                 1.0719,                 0.7597,                0.66625,                0.72114,                0.34558,                 1.7556,                 1.1472,                 1.1064,               0.005446,               0.005446,               0.005446
                     49,                 1.7003,                 1.2086,                 1.0635,                0.76484,                0.65294,                0.72339,                0.34755,                  1.753,                 1.1429,                 1.1058,               0.005347,               0.005347,               0.005347
                     50,                 1.7076,                 1.2022,                 1.0741,                0.75858,                 0.6521,                0.72118,                 0.3499,                 1.7524,                 1.1432,                  1.107,               0.005248,               0.005248,               0.005248
                     51,                 1.6963,                 1.1935,                 1.0631,                0.76834,                0.66148,                0.72382,                0.35024,                 1.7572,                 1.1398,                 1.1088,               0.005149,               0.005149,               0.005149
                     52,                 1.6831,                  1.178,                 1.0591,                0.77278,                0.66172,                0.72611,                0.34939,                 1.7583,                 1.1354,                 1.1091,                0.00505,                0.00505,                0.00505
                     53,                 1.6882,                 1.1866,                 1.0637,                0.77277,                0.66413,                0.72461,                 0.3501,                 1.7588,                 1.1348,                 1.1099,               0.004951,               0.004951,               0.004951
