                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8252,                 1.4458,                  1.107,                0.69246,                0.63651,                0.68746,                0.33542,                 1.7408,                 1.2537,                  1.103,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.8233,                 1.4348,                  1.102,                0.73013,                0.59997,                0.68434,                0.33166,                 1.7392,                 1.2452,                 1.1034,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.8198,                 1.4309,                 1.1007,                0.74425,                0.59478,                 0.6831,                0.33092,                 1.7419,                 1.2334,                 1.1008,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.8253,                 1.4352,                 1.1063,                 0.7516,                0.60822,                0.69251,                 0.3322,                 1.7426,                 1.2239,                    1.1,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.8068,                  1.408,                 1.0989,                 0.7572,                0.61565,                0.69691,                 0.3439,                 1.7452,                 1.2046,                 1.0991,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.8032,                 1.4015,                 1.1003,                0.74582,                0.64695,                0.71203,                0.34802,                 1.7412,                 1.1925,                 1.1016,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.7977,                 1.3954,                 1.0945,                0.76006,                0.63674,                0.71566,                0.34887,                 1.7524,                 1.1923,                 1.1029,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.7927,                 1.3768,                 1.0935,                0.77682,                0.63837,                0.72205,                0.34957,                 1.7511,                  1.181,                 1.1024,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.7984,                 1.3833,                 1.0974,                0.75401,                0.65128,                0.71967,                0.34796,                 1.7485,                 1.1805,                    1.1,               0.009604,               0.009604,               0.009604
                     43,                 1.7813,                 1.3415,                 1.0887,                0.74911,                0.64121,                0.71494,                0.34555,                 1.7452,                 1.1744,                 1.1001,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.7668,                  1.328,                  1.088,                0.76707,                0.61331,                0.71328,                0.34751,                 1.7441,                 1.1644,                  1.101,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.7804,                 1.3372,                 1.0865,                0.78225,                0.61658,                0.71582,                  0.348,                 1.7428,                 1.1579,                 1.1005,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.7723,                 1.3293,                 1.0809,                0.75312,                 0.6397,                0.71527,                0.34806,                  1.746,                 1.1501,                 1.1039,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.7705,                 1.3112,                 1.0893,                0.76636,                0.63196,                0.71712,                0.35346,                 1.7424,                 1.1446,                 1.1024,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.7661,                 1.3113,                 1.0887,                0.77767,                0.63692,                0.71961,                0.35346,                 1.7404,                 1.1425,                 1.1028,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.7617,                 1.2986,                 1.0829,                0.78326,                0.63594,                0.72301,                0.35376,                 1.7374,                 1.1395,                 1.1033,              0.0095347,              0.0095347,              0.0095347
                     50,                  1.757,                 1.2967,                 1.0878,                0.77974,                0.64768,                0.72577,                0.35512,                 1.7361,                  1.136,                 1.1029,              0.0095248,              0.0095248,              0.0095248
                     51,                  1.754,                 1.2937,                 1.0814,                0.78405,                0.64853,                0.72949,                0.35707,                 1.7334,                 1.1321,                 1.1007,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.7483,                 1.2738,                 1.0807,                0.76473,                0.66738,                0.73673,                0.35827,                 1.7319,                 1.1285,                 1.0998,               0.009505,               0.009505,               0.009505
                     53,                 1.7467,                 1.2814,                 1.0822,                0.77962,                0.65223,                0.73822,                 0.3631,                 1.7305,                 1.1267,                 1.1002,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.7437,                 1.2686,                 1.0702,                0.78251,                0.65004,                0.74156,                0.36175,                 1.7313,                 1.1241,                  1.101,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.7369,                 1.2573,                 1.0802,                0.77859,                0.65148,                0.74164,                0.36257,                 1.7308,                 1.1223,                  1.101,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.7338,                 1.2632,                 1.0777,                0.79557,                0.64214,                0.74012,                0.36219,                 1.7299,                 1.1205,                 1.1007,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.7419,                 1.2587,                 1.0742,                0.77347,                0.65687,                0.74146,                0.36246,                 1.7311,                 1.1178,                 1.1008,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.7316,                 1.2408,                 1.0799,                0.77241,                0.66873,                0.74247,                0.36303,                 1.7301,                 1.1185,                    1.1,              0.0094456,              0.0094456,              0.0094456
